timestamp,glucose
2024-01-01T00:00,110
2024-01-01T00:05,115
2024-01-01T00:10,120
2024-01-01T00:15,130
2024-01-01T00:20,150
2024-01-01T00:25,210
2024-01-01T00:30,240
2024-01-01T00:35,250
2024-01-01T00:40,235
2024-01-01T00:45,220
2024-01-01T00:50,200
2024-01-01T00:55,185
2024-01-01T01:00,170
2024-01-01T01:05,160
2024-01-01T01:10,150
2024-01-01T01:15,140
2024-01-01T01:20,135
2024-01-01T01:25,130
2024-01-01T01:30,125
2024-01-01T01:35,120
2024-01-01T01:40,115
2024-01-01T01:45,110
2024-01-01T01:50,108
2024-01-01T01:55,105
